https://www.encodeproject.org/search/?type=file&dataset=/experiments/ENCSR391NPE/&format=json&frame=object&limit=all	encode2	ENCSR391NPE	h3k27ac	22rv1	
GSE35197.NCOR1.293T_ctl	remap	GSE35197	ncor1	293T_ctl	
GSE35197.NCOR1.293T_gps2	remap	GSE35197	ncor1	293T_gps2	
GSE20725.PHF8.293t	remap	GSE20725	phf8	293t	
GSE35197.GPS2.293t	remap	GSE35197	gps2	293t	
GSE35197.TBL1.293t	remap	GSE35197	tbl1	293t	
GSE39263.ZNF143.293trex	remap	GSE39263	znf143	293trex	
GSE34871.ARNT.786o	remap	GSE34871	arnt	786o	
Adipose_Subcutaneous_Analysis.v6p.signif_snpgene_pairs.txt.gz	gtex	Adipose_Subcutaneous	eqtl	Adipose_Subcutaneous	
Adipose_Visceral_Omentum_Analysis.v6p.signif_snpgene_pairs.txt.gz	gtex	Adipose_Visceral_Omentum	eqtl	Adipose_Visceral_Omentum	
Adrenal_Gland_Analysis.v6p.signif_snpgene_pairs.txt.gz	gtex	Adrenal_Gland	eqtl	Adrenal_Gland	
Artery_Aorta_Analysis.v6p.signif_snpgene_pairs.txt.gz	gtex	Artery_Aorta	eqtl	Artery_Aorta	
Artery_Coronary_Analysis.v6p.signif_snpgene_pairs.txt.gz	gtex	Artery_Coronary	eqtl	Artery_Coronary	
Artery_Tibial_Analysis.v6p.signif_snpgene_pairs.txt.gz	gtex	Artery_Tibial	eqtl	Artery_Tibial	
Astrocytes.bed	youngh3k27ac	Astrocytes	h3k27ac	Astrocytes	
BI_Adipose_Nuclei.bed	youngh3k27ac	BI_Adipose_Nuclei	h3k27ac	BI_Adipose_Nuclei	
BI_Brain_Angular_Gyrus.bed	youngh3k27ac	BI_Brain_Angular_Gyrus	h3k27ac	BI_Brain_Angular_Gyrus	
BI_Brain_Anterior_Caudate.bed	youngh3k27ac	BI_Brain_Anterior_Caudate	h3k27ac	BI_Brain_Anterior_Caudate	
BI_Brain_Cingulate_Gyrus.bed	youngh3k27ac	BI_Brain_Cingulate_Gyrus	h3k27ac	BI_Brain_Cingulate_Gyrus	
BI_Brain_Hippocampus_Middle.bed	youngh3k27ac	BI_Brain_Hippocampus_Middle	h3k27ac	BI_Brain_Hippocampus_Middle	
BI_Brain_Hippocampus_Middle_150.bed	youngh3k27ac	BI_Brain_Hippocampus_Middle_150	h3k27ac	BI_Brain_Hippocampus_Middle_150	
BI_Brain_Inferior_Temporal_Lobe.bed	youngh3k27ac	BI_Brain_Inferior_Temporal_Lobe	h3k27ac	BI_Brain_Inferior_Temporal_Lobe	
BI_Brain_Mid_Frontal_Lobe.bed	youngh3k27ac	BI_Brain_Mid_Frontal_Lobe	h3k27ac	BI_Brain_Mid_Frontal_Lobe	
BI_CD34_Primary_RO01480.bed	youngh3k27ac	BI_CD34_Primary_RO01480	h3k27ac	BI_CD34_Primary_RO01480	
BI_CD34_Primary_RO01536.bed	youngh3k27ac	BI_CD34_Primary_RO01536	h3k27ac	BI_CD34_Primary_RO01536	
BI_CD34_Primary_RO01549.bed	youngh3k27ac	BI_CD34_Primary_RO01549	h3k27ac	BI_CD34_Primary_RO01549	
BI_CD4_Memory_Primary_7pool.bed	youngh3k27ac	BI_CD4_Memory_Primary_7pool	h3k27ac	BI_CD4_Memory_Primary_7pool	
BI_CD4_Memory_Primary_8pool.bed	youngh3k27ac	BI_CD4_Memory_Primary_8pool	h3k27ac	BI_CD4_Memory_Primary_8pool	
BI_CD4_Naive_Primary_7pool.bed	youngh3k27ac	BI_CD4_Naive_Primary_7pool	h3k27ac	BI_CD4_Naive_Primary_7pool	
BI_CD4_Naive_Primary_8pool.bed	youngh3k27ac	BI_CD4_Naive_Primary_8pool	h3k27ac	BI_CD4_Naive_Primary_8pool	
BI_CD4p_CD225int_CD127p_Tmem.bed	youngh3k27ac	BI_CD4p_CD225int_CD127p_Tmem	h3k27ac	BI_CD4p_CD225int_CD127p_Tmem	
BI_CD4p_CD25-_CD45RAp_Naive.bed	youngh3k27ac	BI_CD4p_CD25-_CD45RAp_Naive	h3k27ac	BI_CD4p_CD25-_CD45RAp_Naive	
